state,avg_crime,avg_income,avg_poverty
Johor,32981.5,2713.25,15.015384615384615
Kedah,21592.5,1776.65,14.876923076923077
Kelantan,12674,1455.25,13.592307692307692
Melaka,8990,2591.4,14.761538461538462
Negeri Sembilan,11696,2292.75,14.623076923076923
Pahang,11192.5,1967.2,10.407692307692308
Perak,17176,1892.05,15.061538461538461
Perlis,2009.5,1799.45,15.023076923076923
Pulau Pinang,18326.5,2755.45,14.953846153846154
Sabah,19472,1982.3684210526317,17.546153846153846
Sarawak,21568,2148.4736842105262,16.246153846153845
Selangor,78813.625,3672.55,15.9
Terengganu,7492,2000.7,14.207692307692307
W.P. Kuala Lumpur,38850.5,4530.555555555556,15.138461538461538
